primary_label,secondary_label,type,latitude,longitude,scientific_name,common_name,time,url,filename,q
lesred1,"[""''""]",flight call,51.4812,-9.7785,Acanthis cabaret,Lesser Redpoll,08:00,//xeno-canto.org/693048,693048.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692820,692820.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692819,692819.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692818,692818.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692817,692817.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692816,692816.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692815,692815.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692814,692814.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692813,692813.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692812,692812.wav,A
lesred1,"[""''""]",flight call,53.7276,-7.7933,Acanthis cabaret,Lesser Redpoll,11:00,//xeno-canto.org/692811,692811.wav,A
lesred1,"[""''""]",flight call,52.6994,-6.2172,Acanthis cabaret,Lesser Redpoll,09:00,//xeno-canto.org/687564,687564.wav,A
lesred1,"[""''""]",flight call,52.6994,-6.2172,Acanthis cabaret,Lesser Redpoll,09:00,//xeno-canto.org/687563,687563.wav,A
lesred1,"[""''""]",flight call,52.6994,-6.2172,Acanthis cabaret,Lesser Redpoll,09:00,//xeno-canto.org/687562,687562.wav,A
lesred1,"[""''""]",flight call,53.2183,-7.7282,Acanthis cabaret,Lesser Redpoll,14:00,//xeno-canto.org/650811,650811.wav,A
lesred1,"[""''""]",flight call,51.4522,-9.8189,Acanthis cabaret,Lesser Redpoll,10:00,//xeno-canto.org/648578,648578.wav,A
lesred1,"[""''""]",song,53.024,-7.3432,Acanthis cabaret,Lesser Redpoll,11:30,//xeno-canto.org/646274,646274.wav,A
lesred1,"[""'Spinus spinus'""]","call, song",54.0063,-1.1962,Acanthis cabaret,Lesser Redpoll,06:30,//xeno-canto.org/638785,638785.wav,A
