filename,fold,target,primary_label,durations
693048.wav,1,0,lesred1,20.0
692820.wav,2,0,lesred1,23.312875
692819.wav,2,0,lesred1,17.504875
692818.wav,1,0,lesred1,22.1054375
692817.wav,1,0,lesred1,19.7834375
692816.wav,1,0,lesred1,15.192
692815.wav,2,0,lesred1,23.856125
692814.wav,2,0,lesred1,24.659625
692813.wav,2,0,lesred1,24.659625
692812.wav,2,0,lesred1,22.4769375
692811.wav,1,0,lesred1,23.9415625
687564.wav,2,0,lesred1,45.696875
687563.wav,1,0,lesred1,10.9391875
687562.wav,1,0,lesred1,14.3499375
650811.wav,1,0,lesred1,15.6038125
648578.wav,2,0,lesred1,26.96825
646274.wav,2,0,lesred1,32.3558125
638785.wav,1,0,lesred1,77.1939375
627534.wav,2,0,lesred1,21.7389375
626651.wav,1,0,lesred1,12.985125
620926.wav,2,0,lesred1,16.3535625
619018.wav,1,0,lesred1,52.3915625
619010.wav,2,0,lesred1,7.9813125
619008.wav,2,0,lesred1,29.859375
619007.wav,2,0,lesred1,93.10975
619006.wav,2,0,lesred1,55.9710625
619005.wav,2,0,lesred1,34.8635
619004.wav,1,0,lesred1,49.8629375
619003.wav,1,0,lesred1,10.5483125
618998.wav,1,0,lesred1,14.082625
618996.wav,1,0,lesred1,35.5156875
617167.wav,2,0,lesred1,20.3713125
617159.wav,2,0,lesred1,64.98625
614237.wav,1,0,lesred1,14.695375
614236.wav,2,0,lesred1,12.98025
614235.wav,1,0,lesred1,25.074125
614234.wav,2,0,lesred1,11.4873125
614233.wav,2,0,lesred1,41.0993125
614232.wav,1,0,lesred1,40.960375
614230.wav,1,0,lesred1,55.30375
605162.wav,1,0,lesred1,30.5851875
603587.wav,1,0,lesred1,38.087
602190.wav,2,0,lesred1,6.624
602189.wav,1,0,lesred1,14.064
602188.wav,2,0,lesred1,6.264
602103.wav,2,0,lesred1,50.5528125
602102.wav,1,0,lesred1,11.93375
602100.wav,2,0,lesred1,34.4460625
602099.wav,1,0,lesred1,7.569125
598186.wav,1,0,lesred1,10.6880625
595860.wav,1,0,lesred1,14.112
594385.wav,1,0,lesred1,10.6805625
594383.wav,1,0,lesred1,22.2475
591130.wav,1,0,lesred1,33.408
582269.wav,1,0,lesred1,68.011375
582259.wav,1,0,lesred1,14.9928125
569417.wav,1,0,lesred1,12.8516875
569416.wav,1,0,lesred1,24.88875
535753.wav,1,0,lesred1,8.4114375
524860.wav,2,0,lesred1,10.583875
524858.wav,2,0,lesred1,9.7908125
447665.wav,2,0,lesred1,21.3943125
412908.wav,1,0,lesred1,26.0963125
392786.wav,2,0,lesred1,12.3036875
392785.wav,1,0,lesred1,7.4449375
392784.wav,1,0,lesred1,25.417125
392783.wav,2,0,lesred1,14.5763125
382584.wav,1,0,lesred1,32.664
330135.wav,2,0,lesred1,15.9346875
324633.wav,1,0,lesred1,48.3788125
324625.wav,1,0,lesred1,35.1608125
292380.wav,1,0,lesred1,9.3780625
281795.wav,2,0,lesred1,19.487375
281794.wav,1,0,lesred1,9.5869375
281792.wav,1,0,lesred1,66.429375
281791.wav,1,0,lesred1,59.7681875
281790.wav,2,0,lesred1,32.026125
281789.wav,1,0,lesred1,68.1535
254395.wav,2,0,lesred1,21.425125
243939.wav,2,0,lesred1,54.31925
243938.wav,2,0,lesred1,38.8251875
195098.wav,1,0,lesred1,17.751875
132617.wav,1,0,lesred1,13.5836875
132616.wav,2,0,lesred1,89.86125
132612.wav,2,0,lesred1,10.9714375
132611.wav,2,0,lesred1,12.6955
132609.wav,2,0,lesred1,14.08
132608.wav,1,0,lesred1,38.55675
118730.wav,2,0,lesred1,46.992
39336.wav,2,0,lesred1,9.7175625
695320.wav,2,0,lesred1,31.3435
692823.wav,2,0,lesred1,19.040375
692822.wav,2,0,lesred1,21.6874375
692821.wav,1,0,lesred1,10.3096875
692370.wav,2,0,lesred1,30.81925
683437.wav,2,0,lesred1,7.1446875
650701.wav,2,0,lesred1,9.752375
650560.wav,1,0,lesred1,29.4875
650559.wav,2,0,lesred1,23.8431875
642177.wav,1,0,lesred1,21.6899375
641146.wav,2,0,lesred1,6.1103125
639799.wav,2,0,lesred1,49.7199375
639798.wav,1,0,lesred1,58.8515
638992.wav,1,0,lesred1,9.4126875
637920.wav,1,0,lesred1,8.5
627539.wav,2,0,lesred1,8.551875
627538.wav,1,0,lesred1,13.0745
627536.wav,2,0,lesred1,22.6583125
627535.wav,1,0,lesred1,19.2629375
626653.wav,2,0,lesred1,16.7645625
626621.wav,1,0,lesred1,7.243375
626619.wav,1,0,lesred1,7.981375
619015.wav,2,0,lesred1,28.71625
619014.wav,1,0,lesred1,16.022625
619013.wav,2,0,lesred1,12.9171875
619012.wav,1,0,lesred1,14.2983125
619011.wav,2,0,lesred1,36.437125
619001.wav,2,0,lesred1,36.10825
619000.wav,2,0,lesred1,10.33025
618999.wav,1,0,lesred1,23.349375
617157.wav,2,0,lesred1,9.436375
617153.wav,2,0,lesred1,22.7561875
617150.wav,1,0,lesred1,11.6730625
617147.wav,1,0,lesred1,42.4264375
617145.wav,1,0,lesred1,25.4091875
614228.wav,1,0,lesred1,27.302875
614226.wav,1,0,lesred1,18.1134375
614225.wav,1,0,lesred1,25.8135625
611057.wav,2,0,lesred1,81.3191875
603468.wav,1,0,lesred1,6.01725
601948.wav,1,0,lesred1,26.468625
601947.wav,2,0,lesred1,9.6670625
600665.wav,1,0,lesred1,10.0445
597448.wav,1,0,lesred1,28.016
597283.wav,2,0,lesred1,6.672
595041.wav,1,0,lesred1,10.4954375
594960.wav,2,0,lesred1,14.1035625
593794.wav,2,0,lesred1,8.1911875
569422.wav,2,0,lesred1,34.7458125
569421.wav,1,0,lesred1,30.0894375
569420.wav,1,0,lesred1,14.7810625
569419.wav,1,0,lesred1,23.4084375
569418.wav,1,0,lesred1,9.521125
569414.wav,1,0,lesred1,8.3699375
562680.wav,1,0,lesred1,13.457625
535754.wav,2,0,lesred1,8.3504375
524620.wav,1,0,lesred1,50.592
489224.wav,1,0,lesred1,18.07675
482789.wav,1,0,lesred1,11.67675
435238.wav,1,0,lesred1,10.9725
393812.wav,2,0,lesred1,23.133375
379859.wav,1,0,lesred1,16.8268125
379853.wav,1,0,lesred1,8.9349375
354533.wav,2,0,lesred1,22.4798125
325247.wav,1,0,lesred1,43.6061875
324628.wav,2,0,lesred1,20.2449375
293851.wav,1,0,lesred1,65.54125
288884.wav,1,0,lesred1,24.1826875
281793.wav,1,0,lesred1,6.5045
243940.wav,2,0,lesred1,33.4966875
212526.wav,1,0,lesred1,56.2155
206477.wav,1,0,lesred1,25.887375
202054.wav,1,0,lesred1,11.538125
202041.wav,1,0,lesred1,10.7830625
188413.wav,2,0,lesred1,86.0193125
187930.wav,1,0,lesred1,11.1456875
187929.wav,2,0,lesred1,7.7649375
152432.wav,2,0,lesred1,15.595125
146727.wav,1,0,lesred1,23.6593125
90382.wav,2,0,lesred1,21.969
77423.wav,2,0,lesred1,36.179625
77421.wav,1,0,lesred1,26.5143125
55413.wav,2,0,lesred1,29.897
49752.wav,1,0,lesred1,17.789375
26308.wav,2,0,lesred1,15.41225
26244.wav,1,0,lesred1,14.053875
693050.wav,2,0,lesred1,18.271875
693049.wav,1,0,lesred1,9.5121875
692796.wav,1,0,lesred1,13.2818125
684173.wav,2,0,lesred1,26.5873125
684092.wav,1,0,lesred1,15.1189375
682838.wav,1,0,lesred1,12.31075
681829.wav,2,0,lesred1,10.0551875
680117.wav,1,0,lesred1,13.4743125
642179.wav,2,0,lesred1,11.5765625
642178.wav,2,0,lesred1,56.76225
632506.wav,1,0,lesred1,7.032
632505.wav,1,0,lesred1,15.0
619732.wav,2,0,lesred1,24.2478125
619730.wav,1,0,lesred1,17.7031875
619017.wav,2,0,lesred1,17.5069375
619016.wav,1,0,lesred1,34.49175
619009.wav,1,0,lesred1,28.696
616690.wav,2,0,lesred1,9.5606875
