filename,fold,target,primary_label,durations,call_probs
693048.wav,4,0,lesred1,20.0,1 1 1 1
692820.wav,4,0,lesred1,23.312875,1 1 1 1 1
692819.wav,5,0,lesred1,17.504875,1 1 1 1
692818.wav,3,0,lesred1,22.1054375,1 1 1 1 1
692817.wav,3,0,lesred1,19.7834375,1 1 1 1
692816.wav,3,0,lesred1,15.192,1 1 1 0
692815.wav,1,0,lesred1,23.856125,1 1 1 1 1
692814.wav,5,0,lesred1,24.659625,1 1 1 1 1
692813.wav,2,0,lesred1,24.659625,1 1 1 1 1
692812.wav,3,0,lesred1,22.4769375,1 1 1 1 1
692811.wav,3,0,lesred1,23.9415625,1 1 1 1 1
687563.wav,3,0,lesred1,10.9391875,1 1 1
687562.wav,1,0,lesred1,14.3499375,1 1 1
650811.wav,3,0,lesred1,15.6038125,1 1 1 1
648578.wav,1,0,lesred1,26.96825,1 1 1 1 1 0
646274.wav,3,0,lesred1,32.3558125,1 1 1 1 1 1 1
627534.wav,1,0,lesred1,21.7389375,1 1 1 1 1
626651.wav,3,0,lesred1,12.985125,1 1 1
620926.wav,1,0,lesred1,16.3535625,1 1 1 1
619010.wav,2,0,lesred1,7.9813125,1 1
619008.wav,4,0,lesred1,29.859375,1 1 1 1 1 1
619005.wav,4,0,lesred1,34.8635,1 1 1 1 1 1 1
619003.wav,1,0,lesred1,10.5483125,1 1 1
618998.wav,4,0,lesred1,14.082625,1 1 1
618996.wav,4,0,lesred1,35.5156875,1 1 1 1 1 1 1 1
617167.wav,2,0,lesred1,20.3713125,1 1 1 1 1
614237.wav,3,0,lesred1,14.695375,1 1 1
614236.wav,1,0,lesred1,12.98025,1 1 1
614235.wav,5,0,lesred1,25.074125,1 1 1 1 1 0
614234.wav,5,0,lesred1,11.4873125,1 1 1
605162.wav,4,0,lesred1,30.5851875,1 1 1 1 1 1 0
603587.wav,5,0,lesred1,38.087,1 1 1 1 1 1 1 1
602190.wav,5,0,lesred1,6.624,1 1
602189.wav,4,0,lesred1,14.064,1 1 1
602188.wav,4,0,lesred1,6.264,1 1
602102.wav,3,0,lesred1,11.93375,1 1 1
602100.wav,5,0,lesred1,34.4460625,1 1 1 1 1 1 1
602099.wav,3,0,lesred1,7.569125,1 1
598186.wav,5,0,lesred1,10.6880625,1 1 1
595860.wav,3,0,lesred1,14.112,1 1 1
594385.wav,1,0,lesred1,10.6805625,1 1 1
594383.wav,1,0,lesred1,22.2475,1 1 1 1 1
591130.wav,4,0,lesred1,33.408,1 1 1 1 1 1 1
582259.wav,5,0,lesred1,14.9928125,1 1 1
569423.wav,1,0,lesred1,4.002125,1
569417.wav,4,0,lesred1,12.8516875,1 1 1
569416.wav,3,0,lesred1,24.88875,1 1 1 1 1
535753.wav,5,0,lesred1,8.4114375,1 1
524872.wav,4,0,lesred1,1.7236875,1
524865.wav,2,0,lesred1,3.177375,1
524863.wav,5,0,lesred1,2.9145625,1
524861.wav,1,0,lesred1,3.06325,1
524860.wav,3,0,lesred1,10.583875,1 1 1
524858.wav,5,0,lesred1,9.7908125,1 1
447665.wav,4,0,lesred1,21.3943125,1 1 1 1 1
412908.wav,4,0,lesred1,26.0963125,1 1 1 1 1 1
392786.wav,1,0,lesred1,12.3036875,0 0 1
392785.wav,3,0,lesred1,7.4449375,1 1
392784.wav,2,0,lesred1,25.417125,1 1 1 1 1 0
392783.wav,3,0,lesred1,14.5763125,0 0 0
382584.wav,5,0,lesred1,32.664,1 1 1 1 1 1 1
330135.wav,2,0,lesred1,15.9346875,1 1 1 1
324625.wav,2,0,lesred1,35.1608125,1 1 1 1 1 1 1 0
292380.wav,4,0,lesred1,9.3780625,1 1
281795.wav,1,0,lesred1,19.487375,1 1 1 1
281794.wav,3,0,lesred1,9.5869375,1 1
281790.wav,3,0,lesred1,32.026125,1 1 1 1 1 1 1
254395.wav,4,0,lesred1,21.425125,1 1 1 1 1
243938.wav,3,0,lesred1,38.8251875,1 1 1 1 1 1 1 1
195098.wav,5,0,lesred1,17.751875,1 1 1 1
132617.wav,5,0,lesred1,13.5836875,1 1 1
132612.wav,1,0,lesred1,10.9714375,1 1 1
132611.wav,5,0,lesred1,12.6955,1 1 1
132609.wav,4,0,lesred1,14.08,1 1 1
132608.wav,4,0,lesred1,38.55675,1 1 1 1 1 1 1 1
39336.wav,5,0,lesred1,9.7175625,1 1
695320.wav,1,0,lesred1,31.3435,1 1 1 1 1 1 0
692823.wav,2,0,lesred1,19.040375,1 1 1 1
692822.wav,4,0,lesred1,21.6874375,1 1 1 1 1
692821.wav,5,0,lesred1,10.3096875,1 1 1
692370.wav,2,0,lesred1,30.81925,1 1 1 1 1 1 0
683437.wav,1,0,lesred1,7.1446875,1 1
650701.wav,3,0,lesred1,9.752375,1 1
650560.wav,3,0,lesred1,29.4875,1 1 1 1 1 1
650559.wav,2,0,lesred1,23.8431875,1 1 1 1 1
642177.wav,1,0,lesred1,21.6899375,1 1 1 1 1
641146.wav,5,0,lesred1,6.1103125,1 1
638992.wav,1,0,lesred1,9.4126875,1 1
637920.wav,5,0,lesred1,8.5,0 0
627539.wav,5,0,lesred1,8.551875,1 1
627538.wav,4,0,lesred1,13.0745,1 1 1
627536.wav,2,0,lesred1,22.6583125,1 1 1 1 1
627535.wav,2,0,lesred1,19.2629375,1 1 1 1
626653.wav,4,0,lesred1,16.7645625,1 1 1 1
626652.wav,1,0,lesred1,4.5279375,1
626621.wav,1,0,lesred1,7.243375,1 1
626619.wav,4,0,lesred1,7.981375,1 1
619015.wav,1,0,lesred1,28.71625,1 1 1 1 1 1
619014.wav,1,0,lesred1,16.022625,1 1 1 1
619013.wav,5,0,lesred1,12.9171875,1 1 1
619012.wav,4,0,lesred1,14.2983125,1 1 1
619011.wav,1,0,lesred1,36.437125,1 1 1 1 1 1 1 1
619001.wav,5,0,lesred1,36.10825,1 1 1 1 1 1 1 1
619000.wav,1,0,lesred1,10.33025,1 1 0
618999.wav,5,0,lesred1,23.349375,1 1 1 1 1
618994.wav,5,0,lesred1,2.8060625,1
617157.wav,3,0,lesred1,9.436375,1 1
617156.wav,4,0,lesred1,3.1575,1
617153.wav,2,0,lesred1,22.7561875,1 1 1 1 1
617150.wav,5,0,lesred1,11.6730625,1 1 1
617145.wav,3,0,lesred1,25.4091875,1 1 1 1 1 1
614963.wav,2,0,lesred1,2.5283125,1
614231.wav,2,0,lesred1,3.999875,1
614229.wav,3,0,lesred1,2.3048125,1
614228.wav,3,0,lesred1,27.302875,1 1 1 1 1 1
614226.wav,4,0,lesred1,18.1134375,1 1 1 1
614225.wav,5,0,lesred1,25.8135625,1 1 1 1 1 1
614223.wav,4,0,lesred1,4.9778125,1
611695.wav,3,0,lesred1,2.828375,1
603468.wav,4,0,lesred1,6.01725,1 1
601948.wav,4,0,lesred1,26.468625,1 1 1 1 1 1
601947.wav,4,0,lesred1,9.6670625,1 1
600665.wav,3,0,lesred1,10.0445,1 1 0
597448.wav,5,0,lesred1,28.016,1 1 1 1 1 1
597283.wav,4,0,lesred1,6.672,1 1
595041.wav,1,0,lesred1,10.4954375,1 1 0
594960.wav,5,0,lesred1,14.1035625,1 1 1
593794.wav,4,0,lesred1,8.1911875,1 1
569422.wav,5,0,lesred1,34.7458125,1 1 1 1 1 1 1
569421.wav,5,0,lesred1,30.0894375,1 1 1 1 1 1 0
569420.wav,5,0,lesred1,14.7810625,1 1 1
569419.wav,1,0,lesred1,23.4084375,1 1 1 1 1
569418.wav,1,0,lesred1,9.521125,1 1
569414.wav,1,0,lesred1,8.3699375,1 1
565332.wav,1,0,lesred1,4.6258125,1
562680.wav,3,0,lesred1,13.457625,1 1 1
535758.wav,3,0,lesred1,3.4575625,1
535754.wav,4,0,lesred1,8.3504375,1 1
489224.wav,5,0,lesred1,18.07675,0 1 1 0
