,filename,fold,target,primary_label,durations
0,693048.wav,2,0,lesred1,20.0
1,692820.wav,5,0,lesred1,23.312875
2,692819.wav,1,0,lesred1,17.504875
3,692818.wav,3,0,lesred1,22.1054375
4,692817.wav,5,0,lesred1,19.7834375
5,692816.wav,1,0,lesred1,15.192
6,692815.wav,5,0,lesred1,23.856125
7,692814.wav,4,0,lesred1,24.659625
8,692813.wav,3,0,lesred1,24.659625
9,692812.wav,1,0,lesred1,22.4769375
10,692811.wav,4,0,lesred1,23.9415625
11,687564.wav,5,0,lesred1,45.696875
12,687563.wav,3,0,lesred1,10.9391875
13,687562.wav,3,0,lesred1,14.3499375
14,650811.wav,5,0,lesred1,15.6038125
15,648578.wav,5,0,lesred1,26.96825
16,646274.wav,3,0,lesred1,32.3558125
17,638785.wav,4,0,lesred1,77.1939375
18,630952.wav,2,0,lesred1,133.407375
19,627534.wav,3,0,lesred1,21.7389375
20,626651.wav,1,0,lesred1,12.985125
21,620926.wav,1,0,lesred1,16.3535625
22,619018.wav,1,0,lesred1,52.3915625
23,619010.wav,1,0,lesred1,7.9813125
24,619008.wav,5,0,lesred1,29.859375
25,619007.wav,5,0,lesred1,93.10975
26,619006.wav,2,0,lesred1,55.9710625
27,619005.wav,4,0,lesred1,34.8635
28,619004.wav,2,0,lesred1,49.8629375
29,619003.wav,3,0,lesred1,10.5483125
30,619002.wav,5,0,lesred1,227.843875
31,618998.wav,3,0,lesred1,14.082625
32,618996.wav,4,0,lesred1,35.5156875
33,617167.wav,1,0,lesred1,20.3713125
34,617159.wav,2,0,lesred1,64.98625
35,614237.wav,2,0,lesred1,14.695375
36,614236.wav,2,0,lesred1,12.98025
37,614235.wav,5,0,lesred1,25.074125
38,614234.wav,3,0,lesred1,11.4873125
39,614233.wav,2,0,lesred1,41.0993125
40,614232.wav,1,0,lesred1,40.960375
41,614230.wav,5,0,lesred1,55.30375
42,605162.wav,3,0,lesred1,30.5851875
43,603587.wav,1,0,lesred1,38.087
44,602190.wav,4,0,lesred1,6.624
45,602189.wav,4,0,lesred1,14.064
46,602188.wav,2,0,lesred1,6.264
47,602103.wav,5,0,lesred1,50.5528125
48,602102.wav,4,0,lesred1,11.93375
49,602100.wav,3,0,lesred1,34.4460625
50,602099.wav,5,0,lesred1,7.569125
51,602098.wav,1,0,lesred1,186.2524375
52,598186.wav,3,0,lesred1,10.6880625
53,595860.wav,3,0,lesred1,14.112
54,594385.wav,3,0,lesred1,10.6805625
55,594383.wav,5,0,lesred1,22.2475
56,591130.wav,4,0,lesred1,33.408
57,582269.wav,4,0,lesred1,68.011375
58,582259.wav,5,0,lesred1,14.9928125
59,569423.wav,3,0,lesred1,4.002125
60,569417.wav,3,0,lesred1,12.8516875
61,569416.wav,5,0,lesred1,24.88875
62,535753.wav,4,0,lesred1,8.4114375
63,524872.wav,2,0,lesred1,1.7236875
64,524865.wav,2,0,lesred1,3.177375
65,524863.wav,3,0,lesred1,2.9145625
66,524861.wav,4,0,lesred1,3.06325
67,524860.wav,2,0,lesred1,10.583875
68,524858.wav,5,0,lesred1,9.7908125
69,447665.wav,1,0,lesred1,21.3943125
70,412908.wav,4,0,lesred1,26.0963125
71,392799.wav,4,0,lesred1,128.832
72,392786.wav,5,0,lesred1,12.3036875
73,392785.wav,3,0,lesred1,7.4449375
74,392784.wav,2,0,lesred1,25.417125
75,392783.wav,3,0,lesred1,14.5763125
76,382584.wav,5,0,lesred1,32.664
77,330135.wav,4,0,lesred1,15.9346875
78,324633.wav,1,0,lesred1,48.3788125
79,324625.wav,3,0,lesred1,35.1608125
80,292380.wav,2,0,lesred1,9.3780625
81,281795.wav,4,0,lesred1,19.487375
82,281794.wav,1,0,lesred1,9.5869375
83,281792.wav,1,0,lesred1,66.429375
84,281791.wav,1,0,lesred1,59.7681875
85,281790.wav,1,0,lesred1,32.026125
86,281789.wav,5,0,lesred1,68.1535
87,254395.wav,2,0,lesred1,21.425125
88,243939.wav,3,0,lesred1,54.31925
89,243938.wav,3,0,lesred1,38.8251875
90,195098.wav,2,0,lesred1,17.751875
91,132617.wav,3,0,lesred1,13.5836875
92,132616.wav,4,0,lesred1,89.86125
93,132612.wav,4,0,lesred1,10.9714375
94,132611.wav,3,0,lesred1,12.6955
95,132609.wav,5,0,lesred1,14.08
96,132608.wav,4,0,lesred1,38.55675
97,118730.wav,2,0,lesred1,46.992
98,39336.wav,5,0,lesred1,9.7175625
99,695320.wav,4,0,lesred1,31.3435
100,692823.wav,5,0,lesred1,19.040375
101,692822.wav,2,0,lesred1,21.6874375
102,692821.wav,3,0,lesred1,10.3096875
103,692370.wav,2,0,lesred1,30.81925
104,683437.wav,5,0,lesred1,7.1446875
105,650701.wav,4,0,lesred1,9.752375
106,650560.wav,3,0,lesred1,29.4875
107,650559.wav,5,0,lesred1,23.8431875
108,642177.wav,5,0,lesred1,21.6899375
109,641146.wav,4,0,lesred1,6.1103125
110,639799.wav,2,0,lesred1,49.7199375
111,639798.wav,1,0,lesred1,58.8515
112,638992.wav,3,0,lesred1,9.4126875
113,637920.wav,3,0,lesred1,8.5
114,627539.wav,3,0,lesred1,8.551875
115,627538.wav,5,0,lesred1,13.0745
116,627536.wav,4,0,lesred1,22.6583125
117,627535.wav,5,0,lesred1,19.2629375
118,626653.wav,3,0,lesred1,16.7645625
119,626652.wav,5,0,lesred1,4.5279375
120,626621.wav,3,0,lesred1,7.243375
121,626619.wav,4,0,lesred1,7.981375
122,619015.wav,1,0,lesred1,28.71625
123,619014.wav,3,0,lesred1,16.022625
124,619013.wav,4,0,lesred1,12.9171875
125,619012.wav,2,0,lesred1,14.2983125
126,619011.wav,1,0,lesred1,36.437125
127,619001.wav,3,0,lesred1,36.10825
128,619000.wav,1,0,lesred1,10.33025
129,618999.wav,2,0,lesred1,23.349375
130,618994.wav,2,0,lesred1,2.8060625
131,617157.wav,4,0,lesred1,9.436375
132,617156.wav,4,0,lesred1,3.1575
133,617153.wav,1,0,lesred1,22.7561875
134,617150.wav,1,0,lesred1,11.6730625
135,617147.wav,5,0,lesred1,42.4264375
136,617145.wav,3,0,lesred1,25.4091875
137,614963.wav,1,0,lesred1,2.5283125
138,614231.wav,1,0,lesred1,3.999875
139,614229.wav,3,0,lesred1,2.3048125
140,614228.wav,2,0,lesred1,27.302875
141,614226.wav,4,0,lesred1,18.1134375
142,614225.wav,3,0,lesred1,25.8135625
143,614223.wav,4,0,lesred1,4.9778125
144,611695.wav,3,0,lesred1,2.828375
145,611057.wav,3,0,lesred1,81.3191875
146,603468.wav,1,0,lesred1,6.01725
147,601948.wav,3,0,lesred1,26.468625
148,601947.wav,1,0,lesred1,9.6670625
149,600665.wav,5,0,lesred1,10.0445
150,597448.wav,3,0,lesred1,28.016
151,597283.wav,1,0,lesred1,6.672
152,595041.wav,2,0,lesred1,10.4954375
153,594960.wav,5,0,lesred1,14.1035625
154,593794.wav,2,0,lesred1,8.1911875
155,569422.wav,1,0,lesred1,34.7458125
156,569421.wav,5,0,lesred1,30.0894375
157,569420.wav,4,0,lesred1,14.7810625
158,569419.wav,5,0,lesred1,23.4084375
159,569418.wav,1,0,lesred1,9.521125
160,569414.wav,2,0,lesred1,8.3699375
161,565332.wav,3,0,lesred1,4.6258125
162,562680.wav,4,0,lesred1,13.457625
163,535758.wav,4,0,lesred1,3.4575625
164,535754.wav,5,0,lesred1,8.3504375
165,524620.wav,5,0,lesred1,50.592
166,489224.wav,4,0,lesred1,18.07675
167,482789.wav,4,0,lesred1,11.67675
168,435238.wav,4,0,lesred1,10.9725
169,393812.wav,2,0,lesred1,23.133375
170,379859.wav,3,0,lesred1,16.8268125
171,379853.wav,4,0,lesred1,8.9349375
172,354533.wav,5,0,lesred1,22.4798125
173,350459.wav,3,0,lesred1,3.838
174,350458.wav,4,0,lesred1,4.323875
175,325247.wav,5,0,lesred1,43.6061875
176,324628.wav,2,0,lesred1,20.2449375
177,293851.wav,2,0,lesred1,65.54125
178,288884.wav,3,0,lesred1,24.1826875
179,281793.wav,1,0,lesred1,6.5045
180,243940.wav,2,0,lesred1,33.4966875
181,212526.wav,2,0,lesred1,56.2155
182,206477.wav,5,0,lesred1,25.887375
183,202054.wav,2,0,lesred1,11.538125
184,202041.wav,4,0,lesred1,10.7830625
185,188413.wav,1,0,lesred1,86.0193125
186,187930.wav,5,0,lesred1,11.1456875
187,187929.wav,3,0,lesred1,7.7649375
188,152432.wav,4,0,lesred1,15.595125
189,146727.wav,5,0,lesred1,23.6593125
190,90382.wav,4,0,lesred1,21.969
191,77423.wav,2,0,lesred1,36.179625
192,77421.wav,5,0,lesred1,26.5143125
193,55413.wav,4,0,lesred1,29.897
194,49752.wav,5,0,lesred1,17.789375
195,26308.wav,5,0,lesred1,15.41225
196,26244.wav,5,0,lesred1,14.053875
197,693050.wav,1,0,lesred1,18.271875
198,693049.wav,5,0,lesred1,9.5121875
199,692796.wav,2,0,lesred1,13.2818125
200,684173.wav,3,0,lesred1,26.5873125
201,684124.wav,3,0,lesred1,5.13425
202,684092.wav,4,0,lesred1,15.1189375
203,682838.wav,1,0,lesred1,12.31075
204,681829.wav,1,0,lesred1,10.0551875
205,680117.wav,2,0,lesred1,13.4743125
206,680116.wav,4,0,lesred1,3.2573125
