,index,mid,display_name
0,0,a000,lesred1
1,1,a001,comred
2,2,a002,hoared
3,3,a003,shikra1
4,4,a004,norgos
5,5,a005,eurspa1
6,6,a006,commyn
7,7,a007,padwar1
8,8,a008,grrwar1
9,9,a009,afrwar1
10,10,a010,blrwar1
11,11,a011,mouwar1
12,12,a012,aquwar1
13,13,a013,marwar3
14,14,a014,sedwar1
15,15,a015,eurwar1
16,16,a016,comsan
17,17,a017,sposan
18,18,a018,lottit1
19,19,a019,borowl
20,20,a020,peflov
21,21,a021,rewbla
22,22,a022,manduc
23,23,a023,wooduc
24,24,a024,skylar
25,25,a025,mstlar1
26,26,a026,razorb
27,27,a027,comkin1
28,28,a028,chukar
29,29,a029,relpar1
30,30,a030,egygoo
31,31,a031,redava
32,32,a032,bufpar
33,33,a033,orwpar
34,34,a034,ywcpar
35,35,a035,yehpar
36,36,a036,bratea1
37,37,a037,norpin
38,38,a038,gnwtea
39,39,a039,mallar3
40,40,a040,gwfgoo
41,41,a041,gragoo
42,42,a042,pifgoo
43,43,a043,snogoo
44,44,a044,taibeg1
45,45,a045,tunbeg1
46,46,a046,berpip1
47,47,a047,tawpip1
48,48,a048,retpip
49,49,a049,blypip1
