file,target
118730.wav,1 1 0 0 0 1 0 0 0 0
132608.wav,1 1 1 1 1 1 1 1
132609.wav,1 1 1
132611.wav,1 1 1
132612.wav,1 1 1
132616.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
132617.wav,1 1 1
142998.wav,1 1
146727.wav,1 1 1 1 1
152432.wav,1 1 1 1
187929.wav,1 1
187930.wav,1 0 1
188413.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
195098.wav,1 1 1 1
198575.wav,1
200064.wav,1 1 1
202041.wav,1 1 1
202054.wav,1 1 0
206477.wav,1 1 1 1 1 1
212526.wav,1 1 1 1 1 1 1 1 1 1 1 1
243938.wav,1 1 1 1 1 1 1 1
243939.wav,1 1 1 1 1 1 1 1 1 1 1
243940.wav,1 1 1 1 1 1 1
254395.wav,1 1 1 1 1
26244.wav,1 1 1
26308.wav,1 1 1 0
281789.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1
281790.wav,1 1 1 1 1 1 1
281791.wav,1 1 1 1 1 1 1 1 1 1 1 1
281792.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1
281793.wav,1 1
281794.wav,1 1
281795.wav,1 1 1 1
288884.wav,1 1 1 1 1
292380.wav,1 1
293851.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 0
295295.wav,1 1 1
323033.wav,1 1 1 1 1 1 1 1 1 0
323041.wav,1 1 1
324625.wav,1 1 1 1 1 1 1 0
324628.wav,1 1 1 1 0
324633.wav,1 1 1 1 1 1 1 1 1 1
325247.wav,1 1 1 1 1 1 1 1 1
330135.wav,1 1 1 1
350458.wav,1
350459.wav,1
354533.wav,1 1 1 1 1
379853.wav,1 1
379859.wav,1 1 1 0
379923.wav,1 0 1
379924.wav,1 1
382584.wav,1 1 1 1 1 1 1
390301.wav,1 1 1 1 1 1 1 1
392783.wav,0 0 0
392784.wav,1 1 1 1 1 0
392785.wav,1 1
392786.wav,0 0 1
392799.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
39336.wav,1 1
393812.wav,1 1 1 1 1
393817.wav,1 1 1 1 1
400416.wav,1
412908.wav,1 1 1 1 1 1
435238.wav,1 1 1
443696.wav,1 1 0
443697.wav,1 1 1 1 1 1 1
443698.wav,1 1 1 1
447665.wav,1 1 1 1 1
470684.wav,1 1 1
482789.wav,1 1 1
489224.wav,0 1 1 0
49752.wav,1 1 1 1
505391.wav,1 1
524620.wav,1 1 1 1 1 1 1 1 1 1 0
524858.wav,1 1
524860.wav,1 1 1
524861.wav,1
524863.wav,1
524865.wav,1
524872.wav,1
535753.wav,1 1
535754.wav,1 1
535758.wav,1
545324.wav,1
546533.wav,1 1
55413.wav,1 1 1 1 1 1
558059.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
562680.wav,1 1 1
565332.wav,1
569414.wav,1 1
569416.wav,1 1 1 1 1
569417.wav,1 1 1
569418.wav,1 1
569419.wav,1 1 1 1 1
569420.wav,1 1 1
569421.wav,1 1 1 1 1 1 0
569422.wav,1 1 1 1 1 1 1
569423.wav,1
582259.wav,1 1 1
582269.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1
584309.wav,1 1 1 0
586780.wav,1 1 1 1 1
590995.wav,1 1 1
591130.wav,1 1 1 1 1 1 1
593285.wav,1
593794.wav,1 1
594383.wav,1 1 1 1 1
594384.wav,1
594385.wav,1 1 1
594387.wav,1
594388.wav,1 1
594960.wav,1 1 1
595041.wav,1 1 0
595860.wav,1 1 1
596087.wav,1 1 1 1
596838.wav,1 1 1 1 1 1 1 1 1 0
596948.wav,1 1 1 1 1
597235.wav,1 1 1
597283.wav,1 1
597448.wav,1 1 1 1 1 1
597755.wav,1 1 1
598186.wav,1 1 1
599246.wav,1 1 1 1
599251.wav,1 1 1 1
600665.wav,1 1 0
601947.wav,1 1
601948.wav,1 1 1 1 1 1
602098.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
602099.wav,1 1
602100.wav,1 1 1 1 1 1 1
602102.wav,1 1 1
602103.wav,1 1 1 1 1 1 1 1 1 1 1
602188.wav,1 1
602189.wav,1 1 1
602190.wav,1 1
603468.wav,1 1
603587.wav,1 1 1 1 1 1 1 1
