,itemid,hasbird,filename,primary_label,filepath,frames,sr,duration,fold
0,64486,0,64486.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/64486.wav,441000,44100,10.0,4
1,2525,0,2525.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/2525.wav,441000,44100,10.0,1
2,44981,0,44981.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/44981.wav,441000,44100,10.0,4
3,101323,0,101323.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/101323.wav,441000,44100,10.0,4
4,165746,0,165746.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/165746.wav,441000,44100,10.0,4
5,38232,0,38232.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/38232.wav,441000,44100,10.0,0
6,104540,0,104540.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/104540.wav,441000,44100,10.0,4
7,157473,0,157473.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/157473.wav,441000,44100,10.0,2
8,132129,0,132129.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/132129.wav,441000,44100,10.0,1
9,127302,0,127302.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/127302.wav,441000,44100,10.0,2
10,24950,0,24950.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/24950.wav,441000,44100,10.0,2
11,39924,0,39924.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/39924.wav,441000,44100,10.0,4
12,19037,1,19037.wav,bird,/content/input/ff1010bird/ff1010bird_wav/wav/19037.wav,441000,44100,10.0,3
13,86729,0,86729.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/86729.wav,441000,44100,10.0,3
14,92992,0,92992.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/92992.wav,441000,44100,10.0,4
15,69238,0,69238.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/69238.wav,441000,44100,10.0,2
16,102853,0,102853.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/102853.wav,441000,44100,10.0,1
17,124684,0,124684.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/124684.wav,441000,44100,10.0,0
18,81068,0,81068.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/81068.wav,441000,44100,10.0,2
19,123344,0,123344.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/123344.wav,441000,44100,10.0,3
20,102553,0,102553.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/102553.wav,441000,44100,10.0,0
21,70948,0,70948.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/70948.wav,441000,44100,10.0,3
22,55122,0,55122.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/55122.wav,441000,44100,10.0,3
23,104656,0,104656.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/104656.wav,441000,44100,10.0,0
24,124698,0,124698.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/124698.wav,441000,44100,10.0,1
25,79563,0,79563.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/79563.wav,441000,44100,10.0,1
26,77649,0,77649.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/77649.wav,441000,44100,10.0,3
27,146716,0,146716.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/146716.wav,441000,44100,10.0,0
28,146812,0,146812.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/146812.wav,441000,44100,10.0,0
29,141255,0,141255.wav,nocall,/content/input/ff1010bird/ff1010bird_wav/wav/141255.wav,441000,44100,10.0,3
