duration,length,primary_label,secondary_labels,filename
10.0,320000,,[],ff1010_55_0.npy
10.0,320000,,[],ff1010_87_0.npy
10.0,320000,,[],ff1010_99_0.npy
10.0,320000,,[],ff1010_104_0.npy
10.0,320000,,[],ff1010_156_0.npy
10.0,320000,,[],ff1010_345_0.npy
10.0,320000,,[],ff1010_347_0.npy
10.0,320000,,[],ff1010_349_0.npy
10.0,320000,,[],ff1010_369_0.npy
10.0,320000,,[],ff1010_370_0.npy
10.0,320000,,[],ff1010_371_0.npy
10.0,320000,,[],ff1010_376_0.npy
10.0,320000,,[],ff1010_1042_0.npy
10.0,320000,,[],ff1010_1043_0.npy
10.0,320000,,[],ff1010_1044_0.npy
10.0,320000,,[],ff1010_1045_0.npy
10.0,320000,,[],ff1010_1046_0.npy
10.0,320000,,[],ff1010_1053_0.npy
10.0,320000,,[],ff1010_1056_0.npy
10.0,320000,,[],ff1010_1748_0.npy
10.0,320000,,[],ff1010_1931_0.npy
10.0,320000,,[],ff1010_1933_0.npy
10.0,320000,,[],ff1010_1934_0.npy
10.0,320000,,[],ff1010_1945_0.npy
10.0,320000,,[],ff1010_2151_0.npy
10.0,320000,,[],ff1010_2155_0.npy
10.0,320000,,[],ff1010_2421_0.npy
10.0,320000,,[],ff1010_2432_0.npy
10.0,320000,,[],ff1010_2435_0.npy
10.0,320000,,[],ff1010_2519_0.npy
10.0,320000,,[],ff1010_2520_0.npy
10.0,320000,,[],ff1010_2521_0.npy
10.0,320000,,[],ff1010_2522_0.npy
10.0,320000,,[],ff1010_2523_0.npy
10.0,320000,,[],ff1010_2524_0.npy
10.0,320000,,[],ff1010_2525_0.npy
10.0,320000,,[],ff1010_2526_0.npy
10.0,320000,,[],ff1010_2527_0.npy
10.0,320000,,[],ff1010_2528_0.npy
10.0,320000,,[],ff1010_2529_0.npy
10.0,320000,,[],ff1010_2530_0.npy
10.0,320000,,[],ff1010_2531_0.npy
10.0,320000,,[],ff1010_2532_0.npy
10.0,320000,,[],ff1010_2533_0.npy
10.0,320000,,[],ff1010_2534_0.npy
10.0,320000,,[],ff1010_2535_0.npy
10.0,320000,,[],ff1010_2689_0.npy
10.0,320000,,[],ff1010_3093_0.npy
10.0,320000,,[],ff1010_3126_0.npy
10.0,320000,,[],ff1010_3177_0.npy
10.0,320000,,[],ff1010_3178_0.npy
10.0,320000,,[],ff1010_3187_0.npy
10.0,320000,,[],ff1010_3189_0.npy
10.0,320000,,[],ff1010_3202_0.npy
10.0,320000,,[],ff1010_5560_0.npy
10.0,320000,,[],ff1010_5929_0.npy
10.0,320000,,[],ff1010_5997_0.npy
10.0,320000,,[],ff1010_6108_0.npy
10.0,320000,,[],ff1010_7126_0.npy
10.0,320000,,[],ff1010_7133_0.npy
10.0,320000,,[],ff1010_7151_0.npy
10.0,320000,,[],ff1010_7152_0.npy
