index,birds,frequency
0,lesred1,261
1,comred,495
2,hoared,73
3,shikra1,110
4,levspa1,3
5,norgos,637
6,eurspa1,169
7,cremyn,42
8,commyn,271
9,padwar1,74
10,grrwar1,817
11,afrwar1,136
12,blrwar1,1134
13,mouwar1,164
14,aquwar1,124
15,marwar3,1502
16,sedwar1,1074
17,eurwar1,1339
18,comsan,1207
19,sposan,143
20,afrjac1,48
21,lottit1,1446
22,borowl,495
23,cinvul1,4
24,creauk,4
25,fislov1,21
26,yeclov,15
27,peflov,52
28,rewbla,767
29,dausta1,14
30,manduc,107
31,wooduc,74
32,skylar,1513
33,whwlar1,20
34,mstlar1,132
35,razorb,80
36,comkin1,705
37,barpar2,17
38,chukar,53
39,rocpar2,49
40,relpar1,263
41,doveki,9
42,egygoo,211
43,redava,66
44,bufpar,113
45,orwpar,146
46,ywcpar,130
47,yehpar,54
48,bratea1,53
49,batlar1,21
50,norpin,146
51,whcpin,10
52,captea1,4
53,gnwtea,616
54,yebtea1,45
55,yebpin1,41
56,mallar3,860
57,isbduc1,27
58,ambduc,19
59,gwfgoo,437
60,gragoo,759
61,pifgoo,352
62,snogoo,121
63,empgoo,7
64,swagoo1,34
65,lwfgoo,32
66,taibeg1,101
67,bahgoo,46
68,rosgoo,33
69,tunbeg1,99
70,berpip1,50
71,tawpip1,392
72,retpip,347
73,blypip1,113
74,pecpip,24
75,olbpip,650
76,rocpip1,258
77,meapip1,909
78,ricpip1,362
79,amepip,156
80,oripip1,84
81,watpip1,494
82,trepip,1503
83,sancra,211
84,litswi1,102
85,comswi,541
86,whrswi1,77
87,fotswi,37
88,palswi3,194
89,plaswi1,21
90,spaeag1,43
91,goleag,78
92,boneag2,12
93,impeag1,12
94,steeag1,8
95,bkhpar,27
96,greegr,309
97,graher1,1108
98,grbher3,118
99,integr,13
100,purher1,190
101,flfshe,9
102,greshe,2
103,sooshe,13
104,shtshe,3
105,chpher1,20
106,inpher1,18
107,squher1,58
108,rudtur,317
109,thbwar1,85
