index,birds,frequency
0,lesred1,261
1,comred,495
2,hoared,73
3,shikra1,110
5,norgos,637
6,eurspa1,169
8,commyn,271
9,padwar1,74
10,grrwar1,817
11,afrwar1,136
12,blrwar1,1134
13,mouwar1,164
14,aquwar1,124
15,marwar3,1502
16,sedwar1,1074
17,eurwar1,1339
18,comsan,1207
19,sposan,143
21,lottit1,1446
22,borowl,495
27,peflov,52
28,rewbla,767
30,manduc,107
31,wooduc,74
32,skylar,1513
34,mstlar1,132
35,razorb,80
36,comkin1,705
38,chukar,53
40,relpar1,263
42,egygoo,211
43,redava,66
44,bufpar,113
45,orwpar,146
46,ywcpar,130
47,yehpar,54
48,bratea1,53
50,norpin,146
53,gnwtea,616
56,mallar3,860
59,gwfgoo,437
60,gragoo,759
61,pifgoo,352
62,snogoo,121
66,taibeg1,101
69,tunbeg1,99
70,berpip1,50
71,tawpip1,392
72,retpip,347
73,blypip1,113
75,olbpip,650
76,rocpip1,258
77,meapip1,909
78,ricpip1,362
79,amepip,156
80,oripip1,84
81,watpip1,494
82,trepip,1503
83,sancra,211
84,litswi1,102
85,comswi,541
86,whrswi1,77
88,palswi3,194
91,goleag,78
96,greegr,309
97,graher1,1108
98,grbher3,118
100,purher1,190
107,squher1,58
108,rudtur,317
109,thbwar1,85
110,sheowl,211
111,loeowl,899
112,litowl1,1043
116,compoc,106
117,tufduc,176
121,uplsan,80
122,cedwax,154
123,bohwax,269
124,amebit,84
125,grebit1,674
126,brant,193
127,cangoo,488
128,cacgoo1,51
129,bargoo,496
133,eueowl1,518
135,categr,193
136,trufin2,126
139,comgol,208
142,eutkne1,523
143,combuz1,772
145,rethaw,160
148,strher,144
149,grnher,105
152,gstlar1,160
153,laplon,429
155,sander,193
156,dunlin,709
157,baisan,90
158,redkno,143
159,brbsan,63
160,cursan,102
161,whrsan,56
163,pursan,63
165,pecsan,122
166,litsti,79
167,leasan,122
169,semsan,112
173,temsti,121
175,sibrub,222
176,calqua,172
180,eurnig1,993
181,rennig1,83
