bird,audio,path,length,destination
lesred1,200064.wav,/datasets/xeno_canto/491_dataset/lesred1/200064.wav,12.721,/datasets/xeno_canto/491/200064.wav
lesred1,602099.wav,/datasets/xeno_canto/491_dataset/lesred1/602099.wav,7.569125,/datasets/xeno_canto/491/602099.wav
lesred1,692818.wav,/datasets/xeno_canto/491_dataset/lesred1/692818.wav,22.105438,/datasets/xeno_canto/491/692818.wav
lesred1,118730.wav,/datasets/xeno_canto/491_dataset/lesred1/118730.wav,46.992,/datasets/xeno_canto/491/118730.wav
lesred1,77423.wav,/datasets/xeno_canto/491_dataset/lesred1/77423.wav,36.179625,/datasets/xeno_canto/491/77423.wav
lesred1,611057.wav,/datasets/xeno_canto/491_dataset/lesred1/611057.wav,81.319188,/datasets/xeno_canto/491/611057.wav
lesred1,692817.wav,/datasets/xeno_canto/491_dataset/lesred1/692817.wav,19.783438,/datasets/xeno_canto/491/692817.wav
lesred1,39336.wav,/datasets/xeno_canto/491_dataset/lesred1/39336.wav,9.717563,/datasets/xeno_canto/491/39336.wav
lesred1,77421.wav,/datasets/xeno_canto/491_dataset/lesred1/77421.wav,26.514313,/datasets/xeno_canto/491/77421.wav
lesred1,142998.wav,/datasets/xeno_canto/491_dataset/lesred1/142998.wav,9.867375,/datasets/xeno_canto/491/142998.wav
lesred1,603468.wav,/datasets/xeno_canto/491_dataset/lesred1/603468.wav,6.01725,/datasets/xeno_canto/491/603468.wav
lesred1,695320.wav,/datasets/xeno_canto/491_dataset/lesred1/695320.wav,31.3435,/datasets/xeno_canto/491/695320.wav
lesred1,692816.wav,/datasets/xeno_canto/491_dataset/lesred1/692816.wav,15.192,/datasets/xeno_canto/491/692816.wav
lesred1,55413.wav,/datasets/xeno_canto/491_dataset/lesred1/55413.wav,29.897,/datasets/xeno_canto/491/55413.wav
lesred1,69801.wav,/datasets/xeno_canto/491_dataset/lesred1/69801.wav,6.99525,/datasets/xeno_canto/491/69801.wav
lesred1,601948.wav,/datasets/xeno_canto/491_dataset/lesred1/601948.wav,26.468625,/datasets/xeno_canto/491/601948.wav
lesred1,692815.wav,/datasets/xeno_canto/491_dataset/lesred1/692815.wav,23.856125,/datasets/xeno_canto/491/692815.wav
lesred1,692823.wav,/datasets/xeno_canto/491_dataset/lesred1/692823.wav,19.040375,/datasets/xeno_canto/491/692823.wav
lesred1,682670.wav,/datasets/xeno_canto/491_dataset/lesred1/682670.wav,16.103188,/datasets/xeno_canto/491/682670.wav
lesred1,49752.wav,/datasets/xeno_canto/491_dataset/lesred1/49752.wav,17.789375,/datasets/xeno_canto/491/49752.wav
lesred1,692814.wav,/datasets/xeno_canto/491_dataset/lesred1/692814.wav,24.659625,/datasets/xeno_canto/491/692814.wav
lesred1,692822.wav,/datasets/xeno_canto/491_dataset/lesred1/692822.wav,21.687438,/datasets/xeno_canto/491/692822.wav
lesred1,601947.wav,/datasets/xeno_canto/491_dataset/lesred1/601947.wav,9.667063,/datasets/xeno_canto/491/601947.wav
lesred1,598186.wav,/datasets/xeno_canto/491_dataset/lesred1/598186.wav,10.688063,/datasets/xeno_canto/491/598186.wav
lesred1,639800.wav,/datasets/xeno_canto/491_dataset/lesred1/639800.wav,12.68175,/datasets/xeno_canto/491/639800.wav
lesred1,26308.wav,/datasets/xeno_canto/491_dataset/lesred1/26308.wav,15.41225,/datasets/xeno_canto/491/26308.wav
lesred1,692813.wav,/datasets/xeno_canto/491_dataset/lesred1/692813.wav,24.659625,/datasets/xeno_canto/491/692813.wav
